ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
27,simple,,"Vault HL1 Headless Electric Guitar with GigBag",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,19990,"All, Guitar",,,http://sales.wp/wp-content/uploads/2022/09/1.webp,,,,,,,,,0
34,simple,,"Vault ST1 Premium Electric Guitar",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,33999,"All, Guitar",,,http://sales.wp/wp-content/uploads/2022/09/2.webp,,,,,,,,,0
35,simple,,"Fender Squier Bullet Stratocaster Electric Guitar",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,29555,"All, Guitar",,,http://sales.wp/wp-content/uploads/2022/09/4.webp,,,,,,,,,0
36,simple,,"Fender Classic Vibe '70s Stratocaster",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,32000,"All, Guitar",,,http://sales.wp/wp-content/uploads/2022/09/5.webp,,,,,,,,,0
37,simple,,"Epiphone Les Paul Muse 6-Strings Solid body",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,31299,"All, Guitar",,,http://sales.wp/wp-content/uploads/2022/09/6.webp,,,,,,,,,0
38,simple,,"Ibanez RG Gio Series GRX40 Maple Neck 6 String",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,18375,"All, Guitar",,,http://sales.wp/wp-content/uploads/2022/09/3.webp,,,,,,,,,0
44,simple,,"AKG Drum Set Session I High Performance Drumki",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,27699,"All, Mic",,,http://sales.wp/wp-content/uploads/2022/09/6-1.webp,,,,,,,,,0
51,simple,,"Rode NT2A Large Capsule Studio Condenser Micro",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,33900,"All, Mic",,,http://sales.wp/wp-content/uploads/2022/09/5-1.webp,,,,,,,,,0
52,simple,,"Rode NT1 Cardioid Condenser Microphone Kit",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,26000,"All, Mic",,,http://sales.wp/wp-content/uploads/2022/09/4-1.webp,,,,,,,,,0
53,simple,,"Vault VLM 3.5 Omni Directional Lavalier Micro",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,399,"All, Mic",,,http://sales.wp/wp-content/uploads/2022/09/3-1.webp,,,,,,,,,0
54,simple,,"Rode NT1A Condenser Microphone Bundle",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,22490,"All, Mic",,,http://sales.wp/wp-content/uploads/2022/09/2-1.webp,,,,,,,,,0
55,simple,,"Vault UCM-FX USB Condenser Podcast Microphone",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2199,"All, Mic",,,http://sales.wp/wp-content/uploads/2022/09/1-1.webp,,,,,,,,,0
56,simple,,"Nektar Panorama P6 61-key Midi Keyboard Contro...",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,55990,"All, Keyboard",,,http://sales.wp/wp-content/uploads/2022/09/6-2.webp,,,,,,,,,0
63,simple,,"Nektar SE25 25-Key USB Mini MIDI Keyboard",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,5766,"All, Keyboard",,,http://sales.wp/wp-content/uploads/2022/09/5-2.webp,,,,,,,,,0
64,simple,,"Nektar Impact LX49+ 49-key Midi Keyboard",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17999,"All, Keyboard",,,http://sales.wp/wp-content/uploads/2022/09/4-2.webp,,,,,,,,,0
65,simple,,"Arturia Keylab Essential 49 Universal Midi Keyboard",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,21589,"All, Keyboard",,,http://sales.wp/wp-content/uploads/2022/09/3-2.webp,,,,,,,,,0
66,simple,,"Akai MPK MINI MK3 Compact Midi Keyboard",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10200,"All, Keyboard",,,http://sales.wp/wp-content/uploads/2022/09/2-2.webp,,,,,,,,,0
67,simple,,"Vault Ikon MK2 49 Key Velocity Sensitive Midi",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,8499,"All, Keyboard",,,http://sales.wp/wp-content/uploads/2022/09/1-2.webp,,,,,,,,,0
68,simple,,"Roland VAD503 V Drums Electronic Drum Kit",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,432265,"All, Drum",,,http://sales.wp/wp-content/uploads/2022/09/6-3.webp,,,,,,,,,0
75,simple,,"Roland TD-17KVX Electronic Drum Mesh Kit with mdm compact",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,174990,"All, Drum",,,http://sales.wp/wp-content/uploads/2022/09/5-3.webp,,,,,,,,,0
76,simple,,"Roland TD-1DMK Electronic Drum Mesh Kit",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,80599,"All, Drum",,,http://sales.wp/wp-content/uploads/2022/09/4-3.webp,,,,,,,,,0
77,simple,,"Roland TD-1DMK Electronic Drum Mesh Kit",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,80500,"All, Drum",,,http://sales.wp/wp-content/uploads/2022/09/1-3.webp,,,,,,,,,0
78,simple,,"Havana HV 522 5Pcs Acoustic Drum Set",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,34899,"All, Drum",,,http://sales.wp/wp-content/uploads/2022/09/3-3.webp,,,,,,,,,0
79,simple,,"Alesis SamplePad Pro",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,33999,"All, Drum",,,http://sales.wp/wp-content/uploads/2022/09/2-3.webp,,,,,,,,,0
